"JURISDICTION","Month","Sum(FINES)"
"ACT",1,6150
"ACT",2,6251
"ACT",3,7427
"ACT",4,5674
"ACT",5,5998
"ACT",6,4248
"ACT",7,4659
"ACT",8,5469
"ACT",9,5435
"ACT",10,5463
"ACT",11,6053
"ACT",12,6019
"NSW",1,64424
"NSW",2,67824
"NSW",3,77788
"NSW",4,68122
"NSW",5,78818
"NSW",6,75305
"NSW",7,76913
"NSW",8,80241
"NSW",9,76638
"NSW",10,72135
"NSW",11,79953
"NSW",12,87511
"NT",1,5000
"NT",2,4987
"NT",3,5535
"NT",4,3880
"NT",5,2946
"NT",6,2957
"NT",7,3651
"NT",8,4174
"NT",9,3552
"NT",10,4343
"NT",11,3378
"NT",12,3652
"QLD",1,65403
"QLD",2,64173
"QLD",3,67284
"QLD",4,60494
"QLD",5,66565
"QLD",6,69567
"QLD",7,66461
"QLD",8,66252
"QLD",9,64623
"QLD",10,66794
"QLD",11,65052
"QLD",12,72215
"SA",1,16191
"SA",2,16285
"SA",3,16665
"SA",4,15370
"SA",5,14617
"SA",6,13566
"SA",7,14852
"SA",8,14762
"SA",9,13270
"SA",10,16337
"SA",11,15565
"SA",12,17101
"TAS",1,7435
"TAS",2,5568
"TAS",3,5153
"TAS",4,6231
"TAS",5,6261
"TAS",6,4982
"TAS",7,5372
"TAS",8,6062
"TAS",9,6001
"TAS",10,6569
"TAS",11,7415
"TAS",12,7944
"VIC",1,102386
"VIC",2,91639
"VIC",3,80872
"VIC",4,88145
"VIC",5,91291
"VIC",6,76357
"VIC",7,91737
"VIC",8,85342
"VIC",9,57460
"VIC",10,2558
"VIC",11,2674
"VIC",12,3009
"WA",1,60570
"WA",2,57755
"WA",3,62126
"WA",4,59628
"WA",5,58810
"WA",6,53258
"WA",7,54187
"WA",8,57478
"WA",9,6430
"WA",10,2525
"WA",11,61
"WA",12,5
